2026-08-30 02:32:36 - Inicio versión secuencial
2026-08-30 02:32:36 - Procesado correctamente: archivo_001.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_002.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_003.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_004.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_005.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_006.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_007.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_008.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_009.txt
2026-08-30 02:32:36 - Procesado correctamente: archivo_010.txt
2026-08-30 02:32:36 - Ejecución finalizada correctamente
